"App Name","App Id","Category","Rating","Rating Count","Installs","Minimum Installs","Maximum Installs","Free","Price","Currency","Size","Minimum Android","Developer Id","Developer Website","Developer Email","Released","Last Updated","Content Rating","Privacy Policy","Ad Supported","In App Purchases","Editors Choice","Scraped Time"
"Player Shrink Mod","pla.yyer.shrinkm21","Parenting",2.2,12,"1,000+",1000,2180,TRUE,0,"USD","54M","5.1 and up","cheery bladghanaian",NA,"cheery7979ghanaian@gmail.com","Apr 21, 2021","Apr 29, 2021","Teen",NA,FALSE,TRUE,FALSE,2021-06-16 05:56:00
"Just 100 Tap","jp.co.tko.just100tap","Casual",0,0,"1+",1,3,TRUE,0,"USD","11M","5.0 and up","tko app.","https://tko-app.dojin.com/tko-app/just-100-tap-%e3%83%aa%e3%83%aa%e3%83%bc%e3%82%b9%e3%81%97%e3%81%be%e3%81%97%e3%81%9f%e3%80%82/","tko_app@tko-app.dojin.com","Feb 13, 2020","Feb 14, 2020","Everyone","https://tko-app.dojin.com/tko-app/appstore/privacy_policy.html",TRUE,FALSE,FALSE,2021-06-16 02:08:45
"Persian - English Translator (<U+0645><U+062A><U+0631><U+062C><U+0645> <U+0641><U+0627><U+0631><U+0633><U+06CC>)","com.hola.translate.parsian","Education",0,0,"50+",50,58,TRUE,0,"USD","3.3M","4.1 and up","Hola&Hi Translator",NA,"translator2world@gmail.com","Jul 23, 2018","Sep 22, 2018","Everyone","http://hiprivacy.blogspot.com",TRUE,FALSE,FALSE,2021-06-16 13:42:34
"Kelsie Grezl Personal Training","com.fitnessmobileapps.kelsiegrezlpersonaltraining","Health & Fitness",0,0,"500+",500,966,TRUE,0,"USD","8.4M","4.1 and up","MINDBODY Branded Apps","https://www.mindbodyonline.com/branded-apps","support@mindbodyonline.com","Oct 22, 2017","Dec 17, 2019","Everyone","https://www.mindbodyonline.com/privacy-policy",FALSE,FALSE,FALSE,2021-06-16 08:47:12
"Crystal Quest - Rainbow","com.RootpieStudios.CrystalQuest","Arcade",0,0,"1,000+",1000,1383,TRUE,0,"USD","36M","4.4 and up","Rootpie Studios","https://rootpie.me","rootpie.studios@gmail.com","Dec 22, 2020","Jan 08, 2021","Everyone",NA,TRUE,TRUE,FALSE,2021-06-16 02:53:12
"Pick the Lock","com.proZ.pick","Casual",3.7,13,"500+",500,884,TRUE,0,"USD","Varies with device","4.1 and up","Almost a Game Studio",NA,"AlmostAGameStudio@gmail.com","Jun 28, 2019","Oct 21, 2019","Everyone","https://almost-a-game-studio.jimdosite.com/games-datenschutz/",TRUE,TRUE,FALSE,2021-06-16 07:46:45
"Radio Fm Palabra 106.3","streamingpro.palabra","Music & Audio",0,0,"100+",100,239,TRUE,0,"USD","11M","5.0 and up","StreamingPRO","https://streamingchilenos.cl","contacto@streamingchilenos.cl","Apr 28, 2017","Jul 14, 2020","Everyone","https://docs.google.com/document/d/1MMKBnBPujXC5vxqguXp5wjoNgJ_MvxFmBsbweGi7514/edit",FALSE,FALSE,FALSE,2021-06-16 03:00:59
"REASeuro","com.m_pulso.microtraining_reaseuro","Education",0,0,"50+",50,54,TRUE,0,"USD","31M","5.0 and up","M-Pulso GmbH",NA,"office@micro-training.com","Sep 2, 2020","Sep 02, 2020","Everyone","http://micro-training.at/datenschutz-reaseuro/",FALSE,FALSE,FALSE,2021-06-16 08:43:58
"Multiple Videos Player at Same Time Music Player","com.fourvideo.atsametime.multiplevideo","Video Players & Editors",2.2,118,"10,000+",10000,40590,TRUE,0,"USD","2.2M","4.0.3 and up","isoftApp","https://isoftapp.zyrosite.com/","isoftappdev@gmail.com","Jan 15, 2018","Jan 18, 2018","Everyone","https://sites.google.com/site/isoftappdev/privacy-policy-3",TRUE,FALSE,FALSE,2021-06-16 10:45:56
"Ramalan Kerejekian Menurut Primbon","com.ikhlasridhoapps.kerejekianmenurutprimbon","Books & Reference",0,0,"100+",100,173,TRUE,0,"USD","5.6M","4.4 and up","Ikhlas Ridho Apps",NA,"wasanimochsemogaberkah789@gmail.com","Nov 1, 2019","Aug 19, 2020","Everyone","https://ikhlasridhoapps.blogspot.com/2019/09/privacy-policy-rahasia-pribadi-ikhlas.html",TRUE,FALSE,FALSE,2021-06-16 07:14:24
"EntreLinhas EE","com.knsports.entrelinhas2020","Sports",5,6,"100+",100,197,TRUE,0,"USD","5.7M","4.0.3 and up","KNSports","https://knsports.com.br","contato@grupokn.com.br","May 24, 2020","Feb 21, 2021","Everyone","https://knsports.grupokn.com.br/privacy-policy/",FALSE,FALSE,FALSE,2021-06-16 12:33:46
"Infinite Text","hello.world.maketextinfinity","Tools",0,0,"10+",10,42,TRUE,0,"USD","2.1M","4.2 and up","<U+D55C><U+BE44>","https://50billion-dollars.blogspot.com/","alsltjdrhs1997@gmail.com","Jan 1, 2021","Jan 17, 2021","Everyone","https://blog.naver.com/PostView.nhn?blogId=alsltjdrhs5&Redirect=View&logNo=222193681144&categoryNo=1&isAfterWrite=true&isMrblogPost=false&isHappyBeanLeverage=true&contentLength=19002",TRUE,FALSE,FALSE,2021-06-16 04:17:21
"Sales by MISCOS","bms.salesemployeemiscos","Communication",0,0,"10+",10,27,TRUE,0,"USD","5.8M","4.0 and up","MISCOS","http://www.miscos.in","ayushsaxena99@gmail.com","Sep 16, 2017","Jul 06, 2018","Everyone","http://www.mediafire.com/file/vom8l2f5n4pnhzm/privacy_policy_avs_lite.html",FALSE,FALSE,FALSE,2021-06-16 04:50:21
"podcast appli","com.alzeto.podcast.appli","News & Magazines",0,0,"100+",100,144,TRUE,0,"USD","9.9M","4.3 and up","Fabrice PASCAL","http://podcast.radiosenligne.com","podcast@radiosenligne.com","May 7, 2020","May 07, 2020","Everyone","http://podcast.radiosenligne.com/podcast_admin_panel/privacy_policy.php",TRUE,FALSE,FALSE,2021-06-16 02:19:38
"StatusSaver","com.status.karuppaswamy.statussaver","Social",0,0,"50+",50,58,TRUE,0,"USD","2.7M","4.0.3 and up","Karuppasamy","http://targetbuz.com","karuppasamy1194@gmail.com","Jan 6, 2018","Jan 07, 2018","Everyone","http://www.targetbuz.com/termsandconditions",TRUE,FALSE,FALSE,2021-06-16 07:04:02
"EPHEMERAL -<U+30A8><U+30D5><U+30A7><U+30E1><U+30E9><U+30EB>-","com.hunex_play.hsp825002gjp","Adventure",4.3,55,"5,000+",5000,5342,TRUE,0,"USD","6.3M","4.1 and up","HUNEX CO.,LTD.","http://hunex-play.com","jp.support@hunex-play.com","Jun 20, 2016","Mar 26, 2020","Everyone 10+","http://hunex-play.com/portal/jpn/privacy.html",TRUE,TRUE,FALSE,2021-06-16 03:53:53
"Dream Land Live Wallpaper","com.dakshapps.dreamland","Personalization",4.4,26,"1,000+",1000,3657,TRUE,0,"USD","3.1M","2.2 and up","Daksh Apps",NA,"rudamanraj@gmail.com","Dec 18, 2018","Mar 03, 2021","Everyone","https://docs.google.com/document/d/e/2PACX-1vT3fjGMznBOHkdfJ6oPW3qpdAdxNDlltNLTz_oN1BD8zSu3Dz6xDSjfh6Rz5CzAn0-hXGVjH1U50tIT/pub",TRUE,FALSE,FALSE,2021-06-16 11:12:17
"Shine Money","com.ardilla.shinemoney","Tools",0,0,"1+",1,2,TRUE,0,"USD","4.0M","5.0 and up","Peter Georgiev",NA,"pepig1998@gmail.com","Nov 27, 2020","Nov 27, 2020","Everyone",NA,FALSE,FALSE,FALSE,2021-06-16 03:52:17
"Quality Thai Language Keyboard App","com.soq.free.apps.thai.keyboard","Personalization",4.3,77,"5,000+",5000,8607,TRUE,0,"USD","8.7M","4.0 and up","Top Quality, Free Android Mobile Apps",NA,"adnanakbar875487@gmail.com","Sep 7, 2018","Feb 05, 2020","Everyone",NA,TRUE,FALSE,FALSE,2021-06-16 10:23:10
"<U+D55C><U+AD6D><U+C54C><U+BC15> <U+C2A4><U+B9C8><U+D2B8><U+CEA0><U+D37C><U+C2A4>","kr.co.hunet.MobileLearningCenterForUlvackorea","Education",0,0,"50+",50,72,TRUE,0,"USD","32M","5.0 and up","HUNET","http://www.hunet.co.kr","app@hunet.co.kr","Mar 6, 2020","Mar 25, 2021","Everyone","http://my.hunet.co.kr/User/PolicyPrivacy",FALSE,FALSE,FALSE,2021-06-16 13:40:18
"RT Station","com.renttrystation","Travel & Local",5,11,"100+",100,327,TRUE,0,"USD","5.0M","4.4 and up","TENPINS INNOVATION PRIVATE LIMITED","https://renttry.com","info@renttry.com","Jan 22, 2020","Mar 25, 2021","Everyone","https://renttry.com/privacy-policy",FALSE,FALSE,FALSE,2021-06-16 04:23:36
"<U+0625><U+062F><U+0627><U+0631><U+0629> <U+0627><U+0644><U+0623><U+0645><U+0644><U+0627><U+0643> - <U+0627><U+0644><U+0645><U+0633><U+062A><U+0641><U+064A><U+062F><U+064A><U+0646>","awqaff.dd.net.sa","House & Home",0,0,"100+",100,109,TRUE,0,"USD","6.3M","4.4 and up","Developers And Designers","http://www.dd.net.sa/","info@dd.net.sa","Feb 23, 2020","Oct 11, 2020","Teen","http://www.dd.net.sa/Site/home#contact-section",FALSE,FALSE,FALSE,2021-06-16 07:36:28
"Fluffy Cat","com.SpicyCatStudio.FluffyCat","Action",0,0,"10+",10,35,TRUE,0,"USD","11M","4.4 and up","Spicy Cat Studios",NA,"spicycatstudios@gmail.com","Mar 16, 2020","Mar 17, 2020","Everyone","https://spicycatstudios.wixsite.com/mysite/fluffy-cat-game-privacy-policy",FALSE,FALSE,FALSE,2021-06-16 12:07:21
"Rainbow Clock Live Wallpaper","ripple.gallary.clock.rainbow","Personalization",0,0,"100+",100,255,TRUE,0,"USD","8.0M","4.0.3 and up","Ripple Clocks",NA,"ripple.clock1992@gmail.com","May 6, 2017","May 07, 2017","Everyone","http://rippleclockprivacypolicy.blogspot.in/",TRUE,FALSE,FALSE,2021-06-15 20:31:59
"<U+30A8><U+30EB>·<U+30B7><U+30E7><U+30C3><U+30D7> ELLE SHOP <U+30D5><U+30A1><U+30C3><U+30B7><U+30E7><U+30F3><U+901A><U+8CA9>","jp.co.hearst.elleshop","Shopping",0,0,"500+",500,816,TRUE,0,"USD","29M","5.1 and up","<U+30CF><U+30FC><U+30B9><U+30C8><U+5A66><U+4EBA><U+753B><U+5831><U+793E>","https://elleshop.jp/","customer@hearst.co.jp","May 16, 2021","Jun 04, 2021","Everyone","https://www.hearst.co.jp/privacypolicy/",FALSE,FALSE,FALSE,2021-06-15 23:11:48
"calling Vy Qwaint ! - Callprank and wallapper HD","com.farish.callprank.vyqwaintwallpapers.fakecall.fakechat.videocall","Entertainment",4.8,6,"1,000+",1000,3678,TRUE,0,"USD","18M","5.0 and up","fakecall bulusari callprank","https://k2013e912.app-ads-txt.com","soleh.alfaris93@gmail.com","Feb 17, 2021","Feb 17, 2021","Everyone","http://appsmoment.net/google/FARISH%20Callprank.html",TRUE,FALSE,FALSE,2021-06-16 11:02:19
"Ganesh Chaturthi Wishes GIF & Lord Ganesha Status","com.nexamuse.ganeshgif","Social",0,0,"100+",100,322,TRUE,0,"USD","19M","4.1 and up","Nexamuse","http://www.nexamuse.com","nexamuse@gmail.com","Sep 5, 2018","Sep 17, 2018","Mature 17+","https://nexamuse.blogspot.com/2017/08/privacy-policy.html",TRUE,FALSE,FALSE,2021-06-16 10:07:55
"Robot Evolved : Clash Mobile","com.binaryworkssystems.robotevolve","Strategy",4,158,"5,000+",5000,9152,TRUE,0,"USD","Varies with device","4.1 and up","Binarystudio 54","http://www.binarystudio.co.id","binaryworkssystems@gmail.com","Nov 30, 2017","Dec 01, 2017","Everyone","http://game1.binaryworks.co.id/store/robotevolved_privacypolicy.php",TRUE,TRUE,FALSE,2021-06-15 21:56:53
"English Learning Game With Pictures","com.yumanaapps.wordswithpics","Education",4.2,112,"10,000+",10000,36893,TRUE,0,"USD","20M","4.4 and up","Yumana Apps","http://www.yumanaapps.com","yumanaapps@gmail.com","Jun 5, 2018","Mar 10, 2021","Everyone","https://yumanaapps.wordpress.com/privacy-policy/",TRUE,FALSE,FALSE,2021-06-15 21:20:02
"SPOT COLOR! - Shade Color Spot The Different Color","com.taorusdijital.meltingeye","Puzzle",4.7,7,"100+",100,430,TRUE,0,"USD","6.3M","3.0 and up","TaorusDijital",NA,"taorusdijital@gmail.com","Dec 16, 2015","Dec 16, 2015","Everyone","http://178.62.27.62/mobile/privacy_policy.html",TRUE,FALSE,FALSE,2021-06-16 10:35:20
"Apliaula Familias","apliaula.apliaulafamilias","Education",0,0,"500+",500,523,TRUE,0,"USD","2.3M","4.1 and up","Apliaula","http://www.apliaula.com","apliaula@gmail.com","Jun 8, 2016","Dec 23, 2019","Everyone",NA,FALSE,FALSE,FALSE,2021-06-16 03:28:01
"KIM2 - Die Geburtstagsliste","de.karow.mobile.kim2","Personalization",4.1,26,"1,000+",1000,2806,TRUE,0,"USD","1.7M","4.0 and up","Jan Karow","http://www.minstedt.de","webmaster@minstedt.de","Feb 6, 2011","Sep 05, 2020","Everyone",NA,FALSE,FALSE,FALSE,2021-06-16 08:38:45
"Fast Food 2020 New Match 3 Free Games Without Wifi","com.skillgames.foodmatch","Puzzle",4.5,1584,"50,000+",50000,90545,TRUE,0,"USD","54M","4.1 and up","Skill: Free Match 3 Puzzle Games New Addictive Fun","http://skillgamesapps.com/","skillgamesapps@gmail.com","Jul 19, 2018","Dec 11, 2020","Everyone","http://skillgamesapps.com/privacy-policy/",TRUE,TRUE,FALSE,2021-06-16 07:59:33
"<U+0642><U+0631><U+0623><U+0646> <U+0643><U+0631><U+064A><U+0645> <U+0645><U+062D><U+0645><U+062F> <U+062C><U+0628><U+0631><U+064A><U+0644> <U+0628><U+062F><U+0648><U+0646> <U+0646><U+062A>","com.andromo.dev540689.app525749","Music & Audio",4.8,464,"50,000+",50000,69491,TRUE,0,"USD","98M","4.1 and up","free quran mp3",NA,"taoussihind37@gmail.com","Aug 20, 2016","Sep 12, 2020","Everyone","https://sites.google.com/view/freequran/",TRUE,FALSE,FALSE,2021-06-15 20:59:19
"Wallpapers Lake","com.androidwasabi.wallpaper.lake","Personalization",4.2,56,"10,000+",10000,12196,TRUE,0,"USD","4.7M","3.0 and up","Wasabi","https://sites.google.com/site/androidwasabi/","androidwasabi@gmail.com","Mar 17, 2016","Mar 17, 2016","Teen","https://sites.google.com/site/androidwasabi/home/privacy",TRUE,FALSE,FALSE,2021-06-16 14:06:48
"Words Master 2019","com.bithkugames.wordsmaster","Word",0,0,"500+",500,725,TRUE,0,"USD","19M","4.1 and up","Bithku Games",NA,"bithkugames@gmail.com","Nov 4, 2018","Nov 04, 2018","Everyone","https://docs.google.com/document/d/1Q0-AXjimigHeYz1Mo7Vb9RhxDgB2OBDa4-3mcNh25tI/edit?usp=sharing",TRUE,FALSE,FALSE,2021-06-16 03:27:38
"Turn around","voltea.elcuchillo","Casual",0,0,"10+",10,10,TRUE,0,"USD","9.6M","4.1 and up","AppDan2020","https://volteaelcuchillo.blogspot.com/","appdan2020@gmail.com","Oct 25, 2020","Oct 25, 2020","Everyone",NA,TRUE,FALSE,FALSE,2021-06-16 01:59:32
"Men Traditional Dresses","com.appbasic.mentraditionaldresses","Photography",4,1632,"500,000+",5e+05,841057,TRUE,0,"USD","6.8M","4.0.3 and up","App Basic","http://appbasic.com","support@appbasic.com","Apr 29, 2015","Aug 26, 2019","Everyone","http://appbasic.com/privacy",TRUE,FALSE,FALSE,2021-06-16 10:36:55
"Kompulsa Energy Calculator","com.kompulsa.energycalculator","Auto & Vehicles",0,0,"100+",100,324,TRUE,0,"USD","1.2M","4.4 and up","Kompulsa","https://www.kompulsa.com/","nicholas@kompulsa.com","May 14, 2020","Jun 03, 2020","Everyone","https://www.kompulsa.com/energy-calculator-privacy-policy/",FALSE,FALSE,FALSE,2021-06-15 23:19:07
"Oldies Radio","com.creativsradio.oldiesradio","Music & Audio",0,0,"1,000+",1000,2471,TRUE,0,"USD","5.1M","4.0 and up","Creativs Radio",NA,"creativsradio@gmail.com","Aug 29, 2017","Nov 14, 2017","Everyone","https://www.facebook.com/notes/creativs-radio/privacy-policy/144884572760879/",TRUE,FALSE,FALSE,2021-06-16 01:50:02
"<U+C774><U+C9C0><U+C0F5> <U+C790><U+B3D9><U+C7A5><U+BD80> - <U+AC1C><U+C778><U+C0AC><U+C5C5><U+C790>, <U+C138><U+BB34><U+D68C><U+ACC4>, <U+AC04><U+D3B8>, <U+BCF5><U+C2DD>, <U+BD80><U+AC00><U+C138>, <U+C18C><U+B4DD><U+C138> <U+C2E0><U+ACE0>","com.kicc.easyshop.autobooks","Business",4.6,1384,"100,000+",1e+05,209101,TRUE,0,"USD","35M","4.4 and up","<U+C774><U+C9C0><U+CCB4><U+D06C>","https://www.easyshop.co.kr/taxIntro/taxIntro.kicc?","eztax@kicc.co.kr","Dec 23, 2015","May 11, 2021","Everyone","https://www.easyshop.co.kr/taxLogn/taxLognIndi.kicc",FALSE,FALSE,FALSE,2021-06-15 22:31:34
"LITTLE LEARNERS <U+B9AC><U+D2C0><U+B7EC><U+B108><U+C2A4>","com.cocoa.cocoa_5982_5b729660f0b29","Education",0,0,"100+",100,151,TRUE,0,"USD","4.5M","4.0 and up","yoonsolution","http://yooncompnay.co.kr","yooncom3732@naver.com","Aug 14, 2018","Aug 14, 2018","Everyone","http://littlelearners.mdream.kr",FALSE,FALSE,FALSE,2021-06-16 02:17:50
"Blue Robin Creations","com.bluerobincreations.ar","Entertainment",0,0,"10+",10,13,TRUE,0,"USD","30M","4.1 and up","Blue Robin Creations",NA,"ratings@bluerobincreations.com","Apr 23, 2020","Oct 27, 2020","Everyone","https://bluerobincreations.com/privacy",FALSE,FALSE,FALSE,2021-06-16 03:22:55
"Divisors of a number Calculator","divisors.number","Education",4.7,31,"5,000+",5000,5488,TRUE,0,"USD","2.9M","4.1 and up","Webtoweb","https://www.webtoweb.fr","services.webtoweb@gmail.com","Feb 10, 2020","Mar 17, 2021","Everyone","http://webtoweb.fr/privacy_policy?app=Divisors%20of%20a%20number%20calculator",TRUE,FALSE,FALSE,2021-06-15 22:48:38
"iMotes | Dances & Emotes Battle Royale","com.dancesemotesbattleroyale","Entertainment",4.5,151340,"5,000,000+",5e+06,5757726,TRUE,0,"USD","15M","5.0 and up","Super Apps Tormenta",NA,"superappstormenta@gmail.com","Apr 8, 2020","May 17, 2021","Teen","https://sites.google.com/view/superappstormenta/p%C3%A1gina-principal",TRUE,FALSE,FALSE,2021-06-16 05:21:19
"Fruit Hit : Fruit Splash","com.vnstartllc.fruithit","Casual",3.9,47,"100,000+",1e+05,138176,TRUE,0,"USD","20M","5.0 and up","Vnstart LLC","http://vnstart.com","vnstart.gamestudio@gmail.com","Jun 27, 2019","Jan 25, 2021","Everyone","http://vnstart.com/privacy-policy.html",TRUE,TRUE,FALSE,2021-06-16 05:48:06
"Qibla Finder (AR)","com.vizrex.ar.qibla","Tools",4.6,69,"10,000+",10000,17664,TRUE,0,"USD","15M","4.1 and up","Vizrex (Private) Limited","https://www.vizrex.com","support@vizrex.com","Dec 5, 2019","Nov 02, 2020","Everyone","https://www.vizrex.com/privacy-policy/",FALSE,FALSE,FALSE,2021-06-15 22:41:41
"Super Aero Squad","com.destinogames.aerosquad","Arcade",4.3,6,"10+",10,23,TRUE,0,"USD","30M","4.1 and up","DestinoGames",NA,"destinogames@outlook.es","Aug 20, 2017","Jan 11, 2018","Everyone",NA,TRUE,FALSE,FALSE,2021-06-15 22:25:01
"Random Generator Freeversion","de.elektronik.randomgeneratorfreeversion","Libraries & Demo",3.6,8,"1,000+",1000,1665,TRUE,0,"USD","15M","4.0 and up","Elektronik",NA,"elektronikpostfach@gmail.com","Dec 26, 2016","Oct 27, 2020","Everyone",NA,TRUE,FALSE,FALSE,2021-06-16 14:28:22
"Planet Hoppers","com.SparkGames.PlanetHopper","Arcade",0,0,"10+",10,11,TRUE,0,"USD","56M","4.4 and up","Spark Entertainment and Media",NA,"sparktechnologiesofficial@gmail.com","Feb 12, 2020","Feb 17, 2020","Everyone 10+","https://sites.google.com/view/spark-games/planet-hopper",TRUE,FALSE,FALSE,2021-06-16 08:07:20
"TATA Motors Mood Light","tata.moodlight","Maps & Navigation",3,23,"1,000+",1000,3048,TRUE,0,"USD","5.7M","2.2 and up","Autocop India Pvt. Ltd.","http://www.autocoptrackpro.com","autocopec@gmail.com","Oct 28, 2015","Oct 28, 2015","Everyone",NA,FALSE,FALSE,FALSE,2021-06-16 10:51:38
"Ceramah Ust. Abdul Somad Mp3 Full","com.yukngaji.CeramahUstAbdulSomad","Education",0,0,"100+",100,493,TRUE,0,"USD","3.6M","4.1 and up","Yuk Ngaji","https://yukngajidev.blogspot.com/","hendar.pambudi76@gmail.com","Mar 27, 2018","Jul 24, 2020","Everyone","https://yukngajidev.blogspot.com/2018/10/privacy-policy-of-yuk-ngaji-dev.html",TRUE,FALSE,FALSE,2021-06-16 05:37:33
"Chicago Water Walk","org.iisgcp.waterwalk","Education",4.7,9,"500+",500,541,TRUE,0,"USD","9.3M","2.3 and up","University of Illinois","http://www.iiseagrant.org/","illinoisotm@gmail.com","Dec 17, 2013","May 26, 2015","Everyone",NA,FALSE,FALSE,FALSE,2021-06-16 07:16:44
"rero Remote","my.com.rero.rerobtremote","Education",3.9,63,"10,000+",10000,15554,TRUE,0,"USD","4.6M","4.0 and up","rero Reconfigurable Robot","http://www.rero.io","support@rero.io","Jul 17, 2014","May 25, 2018","Everyone","http://rero.io/privacy-policy",FALSE,FALSE,FALSE,2021-06-16 05:41:11
"IoT Verify","com.IoTVer.www.mobile","Productivity",0,0,"5+",5,5,TRUE,0,"USD","2.4M","4.0 and up","Pieco Direct LLC","https://www.piecodirect.com","swdev@piecodirect.com","Aug 26, 2020","Aug 26, 2020","Everyone","https://www.piecodirect.com/privacy.html",FALSE,FALSE,FALSE,2021-06-16 07:54:26
"Smart Tool","com.smarttool","Entertainment",0,0,"5+",5,6,TRUE,0,"USD","6.8M","4.4 and up","Pearl Technology","https://ceprej.blogspot.com/2020/01/gaming-zone-privacy-policy-we-respect.html","pearltech1312@gmail.com","Feb 6, 2020","Feb 06, 2020","Everyone","https://ceprej.blogspot.com/2020/01/gaming-zone-privacy-policy-we-respect.html",TRUE,FALSE,FALSE,2021-06-15 22:52:11
"Torqeedo TorqTrac App","com.torqeedo.torqtrac","Sports",3.8,30,"1,000+",1000,4904,TRUE,0,"USD","3.8M","5.1 and up","Torqeedo GmbH","http://www.torqeedo.com","app@torqeedo.com","Oct 30, 2014","Jul 30, 2020","Everyone","http://www.torqeedo.com/en/customer-service/privacy-policy.html",FALSE,FALSE,FALSE,2021-06-16 10:00:02
"MyContacts - Contact Manager","com.kevinrmendez.contact_app","Communication",4.2,888,"100,000+",1e+05,156576,TRUE,0,"USD","22M","5.0 and up","kevtechnology","https://mycontacts.website","mycontactsmanager.app@gmail.com","Aug 23, 2019","Jul 28, 2020","Everyone","https://mycontacts.website/privacyPolicy",TRUE,FALSE,FALSE,2021-06-15 21:21:17
"Climbing 30/30","com.nipo.escalade3030","Sports",4.1,231,"10,000+",10000,29345,TRUE,0,"USD","328k","1.5 and up","Olivier Seytre","http://www.7re.org","android@7re.org","Dec 13, 2012","Dec 13, 2012","Everyone",NA,FALSE,FALSE,FALSE,2021-06-16 10:29:16
"Babboleo","com.meway.babboleo","Music & Audio",4.3,63,"5,000+",5000,8733,TRUE,0,"USD","11M","4.1 and up","Radiosa s.r.l.","http://www.radiosa.biz","info@radiosa.biz","May 23, 2018","Feb 06, 2019","Everyone","http://www.radiosa.biz",TRUE,FALSE,FALSE,2021-06-16 11:51:38
